GBM-X ID	Affymetrix ID	Illumina Sample ID[1]	Illumina Sample ID[2]	Illumina Sample Name	Kinomics Sample Name	Kinomics Biological Replicate
	P1016-17_(HuEx-1_0-st-v2).CEL				HGBM-X1016	HGBM-X1016-A
					HGBM-X1016	HGBM-X1016-A
90301011	P1011-3_(HuEx-1_0-st-v2).CEL		P1011-04		HGBM-X1011	HGBM-X1011-A
	P1011-2_(HuEx-1_0-st-v2).CEL				HGBM-X1011	HGBM-X1011-A
					HGBM-X1011	HGBM-X1011-A
91201048	P0948??		p0948		HGBM-X0948	HGBM-X0948-A
100301006	P1006-3_(HuEx-1_0-st-v2).CEL		P1006-4		HGBM-X1006	HGBM-X1006-A
	P1006-2_(HuEx-1_0-st-v2).CEL				HGBM-X1006	HGBM-X1006-A
					HGBM-X1006	HGBM-X1006-A
101201060	P1060-8_(HuEx-1_0-st-v2).CEL		P1060-06		HGBM-X1060	HGBM-X1060-A
	P1060-5_(HuEx-1_0-st-v2).CEL				HGBM-X1060	HGBM-X1060-A
					HGBM-X1060	HGBM-X1060-A
80701033	P1033-6_(HuEx-1_0-st-v2).CEL		1033	080701033-02		
	P1033-5_(HuEx-1_0-st-v2).CEL					
81001048	P1048-3_(HuEx-1_0-st-v2).CEL		P1048-09			
	P1048-2_(HuEx-1_0-st-v2).CEL					
81201064	P1064-56_(HuEx-1_0-st-v2).CEL		P1064-50			
	P1064-48_(HuEx-1_0-st-v2).CEL					
90301009	P1009-9_(HuEx-1_0-st-v2).CEL		P1009-13			
90501016	P0916-7_(HuEx-1_0-st-v2).CEL		P0916-1			
	P0916-6_(HuEx-1_0-st-v2).CEL					
90801031	P1031-5_(HuEx-1_0-st-v2).CEL		P1031-1			
	P1031-4_(HuEx-1_0-st-v2).CEL					
90901036	P1036-14_(HuEx-1_0-st-v2).CEL		P1036-15			
	P1036-10_(HuEx-1_0-st-v2).CEL					
91101046	P0946-3_(HuEx-1_0-st-v2).CEL		P0946-9			
	P0946-2_(HuEx-1_0-st-v2).CEL					
110501034	P1034-14_(HuEx-1_0-st-v2).CEL		P1034-13		NB1034	NB1034-A
	P1034-11_(HuEx-1_0-st-v2).CEL				NB1034	NB1034-A
110601046			P1046-12			
110702060	P2060-74_(HuEx-1_0-st-v2)_2.CEL		P2060-79			
110102004	P2004-55_(HuEx-1_0-st-v2).CEL		2004	110102004-51		
	P2004-53_(HuEx-1_0-st-v2).CEL					
100801032			1032	100801032-18		
					NB1032-1	
M0001	N-Mouse-2_(HuEx-1_0-st-v2).CEL		N.M.B		Mouse Brain	Mouse Brain-A
	N-Mouse-1_(HuEx-1_0-st-v2).CEL				Mouse Brain	Mouse Brain-A
